c_country,pushes,population,ratio_pushes
Uzbekistan,251,27865738,0.009007477210903225
Haiti,83,9648924,0.008601995414203699
Ivory Coast,174,21058798,0.008262579849049314
Republic of the Congo,20,3039126,0.006580839359736977
Iraq,192,29671605,0.006470832973140482
Myanmar,338,53414374,0.0063278847000996395
Guyana,4,748486,0.005344121332930743
Yemen,116,23495361,0.004937144826163769
Madagascar,100,21281844,0.0046988409463014575
Fiji,4,875983,0.0045662986610470755
Tajikistan,32,7487489,0.004273795928114219
Democratic Republic of the Congo,278,70916439,0.003920106591928566
Gambia,6,1593256,0.0037658731553497993
Zambia,50,13460305,0.0037146260801668315
Ethiopia,257,88013491,0.002920006888489402
Burkina Faso,47,16241811,0.0028937659722798152
Afghanistan,76,29121286,0.0026097748567834537
Burundi,25,9863117,0.0025346956748054394
Togo,15,6587239,0.0022771300692141275
Sudan,75,35000000,0.002142857142857143
Somalia,20,10112453,0.001977759501082477
Hong Kong,12,6898686,0.0017394616887911698
Guinea,16,10324025,0.0015497831514356077
Mali,17,13796354,0.0012322096113219479
Niger,13,15878271,8.187289409533318E-4
Central African Republic,1,4844927,2.0640145868038877E-4
Papua New Guinea,1,6064515,1.6489364771956206E-4
